Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100uf","CP_Radial_D10.0mm_P5.00mm",182.000000,-103.132323,-90.000000,top
"C2","DNF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",193.000000,-123.500000,90.000000,top
"C3","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",194.000000,-129.400000,180.000000,top
"C4","1000uf 16v","CP_Radial_D10.0mm_P5.00mm",199.000000,-113.000000,180.000000,top
"C5","DNF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",186.500000,-129.000000,0.000000,top
"C6","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",224.996000,-109.982000,0.000000,top
"C8","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",249.250000,-103.750000,0.000000,top
"C10","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",221.200000,-115.200000,180.000000,top
"C11","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",218.600000,-120.200000,-90.000000,top
"C12","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",215.598000,-123.190000,0.000000,top
"C13","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",222.710000,-123.190000,0.000000,top
"C15","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",194.000000,-127.500000,0.000000,top
"C16","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",219.700000,-104.500000,0.000000,top
"D1","SS36","D_MELF",181.000000,-115.000000,90.000000,top
"D2","10V","D_MELF",198.500000,-127.500000,-90.000000,top
"D3","LED","D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",228.806000,-119.380000,0.000000,top
"D4","4V7","SOT-23",221.600000,-120.200000,180.000000,top
"D5","4V7","SOT-23",217.000000,-116.400000,90.000000,top
"F1","5A","Scherter_OMT125",171.500000,-119.500000,0.000000,top
"J1","XT60 Connector","AMASS_XT60-F_1x02_P7.20mm_Vertical",171.000000,-113.100000,90.000000,top
"J5","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",204.000000,-107.696000,0.000000,top
"J6","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",213.058000,-107.696000,0.000000,top
"J7","SW_&_LED","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",228.250000,-127.075000,0.000000,top
"J8","Serial Console","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",243.364000,-127.100000,0.000000,top
"J9","MCP9700","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",215.500000,-127.075000,0.000000,top
"L1","100uH","Sumida_CDRH74",187.000000,-115.000000,-90.000000,top
"Q1","IRF520N","TO-220-3_Vertical",181.500000,-128.000000,180.000000,top
"Q2","2N7002","TSOT-23",202.000000,-128.500000,90.000000,top
"R1","4k7","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",200.000000,-106.500000,180.000000,top
"R2","1k5","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",196.500000,-106.500000,0.000000,top
"R3","5k6","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",202.250000,-103.000000,-90.000000,top
"R4","22k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",204.000000,-103.000000,-90.000000,top
"R5","100K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",202.000000,-124.500000,0.000000,top
"R6","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",222.456000,-109.982000,90.000000,top
"R7","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",219.662000,-106.172000,0.000000,top
"R8","470R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",229.568000,-117.348000,0.000000,top
"R9","4K7","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",219.662000,-109.728000,180.000000,top
"R10","4K7","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",219.662000,-107.950000,0.000000,top
"R11","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",215.800000,-120.200000,-90.000000,top
"R12","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",196.000000,-121.600000,0.000000,top
"R13","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",219.154000,-123.190000,0.000000,top
"R14","0.16R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",178.000000,-122.950000,90.000000,top
"R15","0.16R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",180.500000,-122.900000,90.000000,top
"R16","0.16R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",183.000000,-122.900000,90.000000,top
"R17","0.16R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",185.500000,-122.950000,90.000000,top
"R18","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",190.087500,-124.500000,0.000000,top
"R19","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",190.087500,-121.500000,0.000000,top
"R20","22k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",190.087500,-127.500000,0.000000,top
"SW1","Reset","switch_SPST_5mmx3mmx2.5mm",226.520000,-107.188000,180.000000,top
"SW2","WiFi","switch_SPST_5mmx3mmx2.5mm",226.520000,-112.776000,180.000000,top
"U2","LM2576HVS-ADJ","TO-220-5_Vertical",191.100000,-103.945000,0.000000,top
"U3","ESP32-WROOM-32","ESP32-WROOM-32",242.110000,-114.330000,-90.000000,top
"U5","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",218.138000,-112.522000,0.000000,top
